Date,Name,Text,compound,negative,neutral,positive
Tue May 29 09:20:35 +0000 2018,BBC Breaking News,"Two police officers shot dead in eastern Belgian city of Liège, senate chief says, with reports attacker is killed https://t.co/FTmHJQ5V71",-0.926,0.424,0.576,0.0
Mon May 28 12:05:39 +0000 2018,BBC Breaking News,Murder investigation launched after man was killed and several more injured when car hit people near Stockport club https://t.co/raUxSrvGY7,-0.9134,0.425,0.523,0.052
Mon May 28 09:52:58 +0000 2018,BBC Breaking News,"Man in his 80s dies after vehicle submerged in flood water in Walsall, police say https://t.co/8hmZZR6Ifh",0.0,0.0,1.0,0.0
Mon May 28 09:50:22 +0000 2018,BBC Breaking News,"Man arrested on suspicion of murder of woman, 31, and girl, 11, in Gloucester https://t.co/5W9CiZIqiz",-0.886,0.464,0.536,0.0
Mon May 28 08:49:02 +0000 2018,BBC Breaking News,"After his dramatic rescue of a young boy from a Paris balcony, Malian migrant Mamoudou Gassama is made a French cit… https://t.co/ki7aWgGtPQ",0.5106,0.0,0.845,0.155
Sun May 27 18:12:19 +0000 2018,BBC Breaking News,Italy PM-designate Guiseppe Conte gives up bid to form government amid reports president vetoed economy pick https://t.co/AbEoT2SdF0,0.0,0.0,1.0,0.0
Sat May 26 20:39:22 +0000 2018,BBC Breaking News,"RT @BBCSport: 🏆🏆🏆🏆🏆🏆🏆🏆🏆🏆🏆🏆🏆

It's heartbreak for Liverpool as Real Madrid win their 13th Champions League title.

FT 3-1

https://t.co/Hr5J…",0.5423,0.138,0.595,0.268
Sat May 26 17:33:38 +0000 2018,BBC Breaking News,"The final result in Ireland's abortion reform referendum

Yes 1,429,981
No 723,632

https://t.co/urPAqRybLz https://t.co/8665LHVeOC",0.128,0.13,0.71,0.16
Sat May 26 17:18:01 +0000 2018,BBC Breaking News,Official result: Republic of Ireland votes resoundingly to overturn abortion ban with voters backing reform of cons… https://t.co/1ghSuV99Ff,-0.5423,0.174,0.773,0.053
Sat May 26 12:04:49 +0000 2018,BBC Breaking News,"Irish PM hails ""quiet revolution"" as early results point to ""resounding"" referendum vote for overturning abortion b… https://t.co/fW4uTOgwOc",0.0,0.0,1.0,0.0
Sat May 26 11:08:51 +0000 2018,BBC Breaking News,Leaders of both Koreas meet in border zone as efforts continue to reschedule Donald Trump's summit with Kim Jong-un https://t.co/ZNdh7ZZZAk,0.0,0.0,1.0,0.0
Sat May 26 09:34:09 +0000 2018,BBC Breaking News,'No' campaign spokesman accepts defeat in Ireland referendum which will allow liberalisation of abortion law… https://t.co/b8Fn4jPkTj,0.0516,0.149,0.644,0.208
Fri May 25 22:28:07 +0000 2018,BBC Breaking News,Exit polls suggest the Republic of Ireland has voted by a landslide to liberalise its strict abortion laws https://t.co/FeHK5CKrvI,0.0,0.0,1.0,0.0
Fri May 25 16:16:31 +0000 2018,BBC Breaking News,"A 95-year-old man arrested on suspicion of murder after female carer died of head injuries, London police say https://t.co/Wttf0ezBRU",-0.9325,0.5,0.5,0.0
Fri May 25 12:31:35 +0000 2018,BBC Breaking News,"Harvey Weinstein is charged with rape and a criminal sex act on two women, after months of sexual abuse allegations https://t.co/xKlFuMthOA",-0.9337,0.468,0.532,0.0
Fri May 25 11:26:42 +0000 2018,BBC Breaking News,Film producer Harvey Weinstein arrives at NY police station where he's expected to answer sexual misconduct charges https://t.co/SVJvYQ0BCT,-0.2732,0.11,0.89,0.0
Fri May 25 09:47:42 +0000 2018,BBC Breaking News,"Man who attacked D-Day veteran, 96, with hammer during raid on his home in Somerset found guilty of attempted murder https://t.co/LXYx1mLb9y",-0.8885,0.368,0.632,0.0
Fri May 25 08:37:26 +0000 2018,BBC Breaking News,Australia and Netherlands formally accuse Russia of responsibility for downing MH17 passenger jet in 2014 https://t.co/zyMC4Ccbyz,-0.2023,0.107,0.893,0.0
Thu May 24 19:59:31 +0000 2018,BBC Breaking News,"Hollywood mogul Harvey Weinstein expected to surrender to police on sexual misconduct charges, US media report https://t.co/NzeaFHi9FZ",-0.2732,0.116,0.884,0.0
Thu May 24 16:14:09 +0000 2018,BBC Breaking News,"""Hopefully positive things will be taking place... but if they don't, we are more ready than we have ever been befo… https://t.co/jgzyXyqNwm",0.7808,0.0,0.708,0.292
Thu May 24 15:42:50 +0000 2018,BBC Breaking News,Two men jailed for life for murder of four children in petrol bomb attack in Greater Manchester https://t.co/fEgISmD1y5,-0.9136,0.478,0.438,0.084
Thu May 24 14:02:08 +0000 2018,BBC Breaking News,"""You talk about your nuclear capabilities, but ours are so massive and powerful that I pray to God they will never… https://t.co/NmbqVRuyAV",0.8656,0.0,0.65,0.35
Thu May 24 13:56:20 +0000 2018,BBC Breaking News,"In letter to Kim Jong-un, President Trump says ""tremendous anger and open hostility"" displayed in North Korea state… https://t.co/4P6aLp1LXE",-0.802,0.298,0.702,0.0
Thu May 24 13:48:51 +0000 2018,BBC Breaking News,"US-North Korea summit will not take place, Donald Trump says https://t.co/Kzej5c101k",0.0,0.0,1.0,0.0
Thu May 24 12:03:56 +0000 2018,BBC Breaking News,Army sergeant Emile Cilliers guilty of trying to murder his wife by tampering with her parachute https://t.co/OdTAyBSJZo,-0.8176,0.333,0.667,0.0
Thu May 24 10:54:54 +0000 2018,BBC Breaking News,"North Korea appears to have blown up tunnels at its only nuclear test site, a key move to reducing regional tensions https://t.co/s92Pw9KS4O",-0.4019,0.119,0.881,0.0
Thu May 24 10:00:39 +0000 2018,BBC Breaking News,A couple have been found guilty of murdering their French au pair and burning her body in their garden https://t.co/8r6yRdCG4B,-0.7964,0.295,0.705,0.0
Thu May 24 10:00:16 +0000 2018,BBC Breaking News,"A missile fired at flight MH17 in 2014, killing 298 people, belonged to a Russian brigade, investigators say https://t.co/yLua7Ztfui",-0.8402,0.348,0.652,0.0
Thu May 24 09:55:10 +0000 2018,BBC Breaking News,"A couple have been found guilty of murdering their French au pair and burning her body in their London garden

https://t.co/ZRwyexYiwh",-0.7964,0.283,0.717,0.0
Thu May 24 09:29:26 +0000 2018,BBC Breaking News,"A missile fired at flight MH17 in 2014, killing 298 people, belonged to a Russian brigade, investigators say https://t.co/D8VQAg3Ca1",-0.8402,0.348,0.652,0.0
Wed May 23 22:15:02 +0000 2018,BBC Breaking News,"Man arrested in Hertfordshire on suspicion of preparing terrorist acts, police say https://t.co/SCbyRXldte",-0.886,0.51,0.49,0.0
Wed May 23 16:36:19 +0000 2018,BBC Breaking News,"Yulia Skripal, poisoned daughter of Russian ex-spy Sergei, says she is lucky to be alive after attack https://t.co/Pe34d0cCOr",-0.2263,0.245,0.545,0.21
